connegative converb	{X}ի	{X}ի	{X}այ	{X}նայ	{X}նայ	{X}ցնի	{X}ցնի	{X}նի	{X}նի	{X}նի	{X}նի	{X}նի	{X}նի	{X}նի	{Xprs}ի	{Xprs}ի	{Xprs}ի	{Xprs}ի	{Xprs}այ	{Xprs}այ	{Xprs}այ			{X}ի	{X}ի	{Xprs}նայ	{X}նայ	{X}ի
indicative present 1SG	{X}ում եմ	{X}ում եմ	{X}ում եմ	{X}նում եմ	{X}նում եմ	{X}ցնում եմ	{X}ցնում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{Xprs}ում եմ	{Xprs}ում եմ	{Xprs}ում եմ	{Xprs}ում եմ	{Xprs}ում եմ	{Xprs}ալիս եմ	{Xprs}ալիս եմ	{X}ամ	{X}եմ	{X}ում եմ	{X}ում եմ	{Xprs}նում եմ	{X}նում եմ	{X}ում եմ
indicative present 2SG	{X}ում ես	{X}ում ես	{X}ում ես	{X}նում ես	{X}նում ես	{X}ցնում ես	{X}ցնում ես	{X}նում ես	{X}նում ես	{X}նում ես	{X}նում ես	{X}նում ես	{X}նում ես	{X}նում ես	{Xprs}ում ես	{Xprs}ում ես	{Xprs}ում ես	{Xprs}ում ես	{Xprs}ում ես	{Xprs}ալիս ես	{Xprs}ալիս ես	{X}աս	{X}ես	{X}ում ես	{X}ում ես	{Xprs}նում ես	{X}նում ես	{X}ում ես
indicative present 3SG	{X}ում ա	{X}ում ա	{X}ում ա	{X}նում ա	{X}նում ա	{X}ցնում ա	{X}ցնում ա	{X}նում ա	{X}նում ա	{X}նում ա	{X}նում ա	{X}նում ա	{X}նում ա	{X}նում ա	{Xprs}ում ա	{Xprs}ում ա	{Xprs}ում ա	{Xprs}ում ա	{Xprs}ում ա	{Xprs}ալիս ա	{Xprs}ալիս ա	{X}այ	{X}ի	{X}ում ա	{X}ում ա	{Xprs}նում ա	{X}նում ա	{X}ում ա
indicative present 1PL	{X}ում ենք	{X}ում ենք	{X}ում ենք	{X}նում ենք	{X}նում ենք	{X}ցնում ենք	{X}ցնում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{Xprs}ում ենք	{Xprs}ում ենք	{Xprs}ում ենք	{Xprs}ում ենք	{Xprs}ում ենք	{Xprs}ալիս ենք	{Xprs}ալիս ենք	{X}անք	{X}ենք	{X}ում ենք	{X}ում ենք	{Xprs}նում ենք	{X}նում ենք	{X}ում ենք
indicative present 2PL	{X}ում էք	{X}ում էք	{X}ում էք	{X}նում էք	{X}նում էք	{X}ցնում էք	{X}ցնում էք	{X}նում էք	{X}նում էք	{X}նում էք	{X}նում էք	{X}նում էք	{X}նում էք	{X}նում էք	{Xprs}ում էք	{Xprs}ում էք	{Xprs}ում էք	{Xprs}ում էք	{Xprs}ում էք	{Xprs}ալիս էք	{Xprs}ալիս էք	{X}աք	{X}եք	{X}ում էք	{X}ում էք	{Xprs}նում էք	{X}նում էք	{X}ում էք
indicative present 3PL	{X}ում են	{X}ում են	{X}ում են	{X}նում են	{X}նում են	{X}ցնում են	{X}ցնում են	{X}նում են	{X}նում են	{X}նում են	{X}նում են	{X}նում են	{X}նում են	{X}նում են	{Xprs}ում են	{Xprs}ում են	{Xprs}ում են	{Xprs}ում են	{Xprs}ում են	{Xprs}ալիս են	{Xprs}ալիս են	{X}ան	{X}են	{X}ում են	{X}ում են	{Xprs}նում են	{X}նում են	{X}ում են
negative indicative present 1SG	չեմ {X}ում	չեմ {X}ում	չեմ {X}ում	չեմ {X}նում	չեմ {X}նում	չեմ {X}ցնում	չեմ {X}ցնում	չեմ {X}նում	չեմ {X}նում	չեմ {X}նում	չեմ {X}նում	չեմ {X}նում	չեմ {X}նում	չեմ {X}նում	չեմ {Xprs}ում	չեմ {Xprs}ում	չեմ {Xprs}ում	չեմ {Xprs}ում	չեմ {Xprs}ում	չեմ {Xprs}ալիս	չեմ {Xprs}ալիս	չ{X}ամ	չ{X}եմ	չեմ {X}ում	չեմ {X}ում	չեմ {Xprs}նում	չեմ {X}նում	չեմ {X}ում
negative indicative present 2SG	չես {X}ում	չես {X}ում	չես {X}ում	չես {X}նում	չես {X}նում	չես {X}ցնում	չես {X}ցնում	չես {X}նում	չես {X}նում	չես {X}նում	չես {X}նում	չես {X}նում	չես {X}նում	չես {X}նում	չես {Xprs}ում	չես {Xprs}ում	չես {Xprs}ում	չես {Xprs}ում	չես {Xprs}ում	չես {Xprs}ալիս	չես {Xprs}ալիս	չ{X}աս	չ{X}ես	չես {X}ում	չես {X}ում	չես {Xprs}նում	չես {X}նում	չես {X}ում
negative indicative present 3SG	չի {X}ում	չի {X}ում	չի {X}ում	չի {X}նում	չի {X}նում	չի {X}ցնում	չի {X}ցնում	չի {X}նում	չի {X}նում	չի {X}նում	չի {X}նում	չի {X}նում	չի {X}նում	չի {X}նում	չի {Xprs}ում	չի {Xprs}ում	չի {Xprs}ում	չի {Xprs}ում	չի {Xprs}ում	չի {Xprs}ալիս	չի {Xprs}ալիս	չ{X}այ	չ{X}ի	չի {X}ում	չի {X}ում	չի {Xprs}նում	չի {X}նում	չի {X}ում
