indicative present 2SG	երգում ես	ուղարկում ես	կարդում ես	ցանկանում ես	ուրախանում ես	վերցնում ես	ուրախացնում ես	մեռնում ես	իջնում ես	փախնում ես	առնում ես	տեսնում ես	էլնում ես	թողնում ես	ուտում ես	անում ես	տանում ես	դնում ես	էթում ես	տալիս ես	գալիս ես	կաս	ունես	արժես	բերում ես	ասում ես	դառնում ես	լուանում ես	բացում ես
indicative present 3SG	երգում ա	ուղարկում ա	կարդում ա	ցանկանում ա	ուրախանում ա	վերցնում ա	ուրախացնում ա	մեռնում ա	իջնում ա	փախնում ա	առնում ա	տեսնում ա	էլնում ա	թողնում ա	ուտում ա	անում ա	տանում ա	դնում ա	էթում ա	տալիս ա	գալիս ա	կայ	ունի	արժի	բերում ա	ասում ա	դառնում ա	լուանում ա	բացում ա
indicative present 1PL	երգում ենք	ուղարկում ենք	կարդում ենք	ցանկանում ենք	ուրախանում ենք	վերցնում ենք	ուրախացնում ենք	մեռնում ենք	իջնում ենք	փախնում ենք	առնում ենք	տեսնում ենք	էլնում ենք	թողնում ենք	ուտում ենք	անում ենք	տանում ենք	դնում ենք	էթում ենք	տալիս ենք	գալիս ենք	կանք	ունենք	արժենք	բերում ենք	ասում ենք	դառնում ենք	լուանում ենք	բացում ենք
indicative present 2PL	երգում էք	ուղարկում էք	կարդում էք	ցանկանում էք	ուրախանում էք	վերցնում էք	ուրախացնում էք	մեռնում էք	իջնում էք	փախնում էք	առնում էք	տեսնում էք	էլնում էք	թողնում էք	ուտում էք	անում էք	տանում էք	դնում էք	էթում էք	տալիս էք	գալիս էք	կաք	ունեք	արժեք	բերում էք	ասում էք	դառնում էք	լուանում էք	բացում էք
indicative present 3PL	երգում են	ուղարկում են	կարդում են	ցանկանում են	ուրախանում են	վերցնում են	ուրախացնում են	մեռնում են	իջնում են	փախնում են	առնում են	տեսնում են	էլնում են	թողնում են	ուտում են	անում են	տանում են	դնում են	էթում են	տալիս են	գալիս են	կան	ունեն	արժեն	բերում են	ասում են	դառնում են	լուանում են	բացում են
negative indicative present 1SG	չեմ երգում	չեմ ուղարկում	չեմ կարդում	չեմ ցանկանում	չեմ ուրախանում	չեմ վերցնում	չեմ ուրախացնում	չեմ մեռնում	չեմ իջնում	չեմ փախնում	չեմ առնում	չեմ տեսնում	չեմ էլնում	չեմ թողնում	չեմ ուտում	չեմ անում	չեմ տանում	չեմ դնում	չեմ էթում	չեմ տալիս	չեմ գալիս	չկամ	չունեմ	չարժեմ	չեմ բերում	չեմ ասում	չեմ դառնում	չեմ լուանում	չեմ բացում
negative indicative present 2SG	չես երգում	չես ուղարկում	չես կարդում	չես ցանկանում	չես ուրախանում	չես վերցնում	չես ուրախացնում	չես մեռնում	չես իջնում	չես փախնում	չես առնում	չես տեսնում	չես էլնում	չես թողնում	չես ուտում	չես անում	չես տանում	չես դնում	չես էթում	չես տալիս	չես գալիս	չկաս	չունես	չարժես	չես բերում	չես ասում	չես դառնում	չես լուանում	չես բացում
negative indicative present 3SG	չի երգում	չի ուղարկում	չի կարդում	չի ցանկանում	չի ուրախանում	չի վերցնում	չի ուրախացնում	չի մեռնում	չի իջնում	չի փախնում	չի առնում	չի տեսնում	չի էլնում	չի թողնում	չի ուտում	չի անում	չի տանում	չի դնում	չի էթում	չի տալիս	չի գալիս	չկայ	չունի	չարժի	չի բերում	չի ասում	չի դառնում	չի լուանում	չի բացում
negative indicative present 1PL	չենք երգում	չենք ուղարկում	չենք կարդում	չենք ցանկանում	չենք ուրախանում	չենք վերցնում	չենք ուրախացնում	չենք մեռնում	չենք իջնում	չենք փախնում	չենք առնում	չենք տեսնում	չենք էլնում	չենք թողնում	չենք ուտում	չենք անում	չենք տանում	չենք դնում	չենք էթում	չենք տալիս	չենք գալիս	չկանք	չունենք	չարժենք	չենք բերում	չենք ասում	չենք դառնում	չենք լուանում	չենք բացում
negative indicative present 2PL	չէք երգում	չէք ուղարկում	չէք կարդում	չէք ցանկանում	չէք ուրախանում	չէք վերցնում	չէք ուրախացնում	չէք մեռնում	չէք իջնում	չէք փախնում	չէք առնում	չէք տեսնում	չէք էլնում	չէք թողնում	չէք ուտում	չէք անում	չէք տանում	չէք դնում	չէք էթում	չէք տալիս	չէք գալիս	չկաք	չունեք	չարժեք	չէք բերում	չէք ասում	չէք դառնում	չէք լուանում	չէք բացում
